product_id,product_name,price,category,brand,stock_quantity,release_date
1,Rev,336.45,beauty,Quaxo,670,12/3/2021
2,Mr,348.57,toys,Babblestorm,514,2/25/2015
3,Mrs,242.05,clothing,Skimia,308,10/21/2022
4,Honorable,470.7,electronics,Mybuzz,680,3/31/2021
5,Rev,551.11,clothing,Tagtune,916,2/9/2020
6,Mrs,433.81,beauty,Zoonder,436,6/15/2016
7,Ms,215.35,electronics,Dazzlesphere,553,4/25/2010
8,Rev,873.04,home goods,Flashdog,777,7/14/2017
9,Mrs,581.04,toys,Katz,958,6/18/2021
10,Rev,133.01,electronics,Babbleset,626,5/9/2022
11,Rev,430.16,beauty,Jetwire,204,8/26/2012
12,Ms,770.12,electronics,Mybuzz,802,11/7/2022
13,Honorable,834.28,clothing,Demizz,332,10/22/2012
14,Rev,99.83,beauty,Oyondu,347,9/16/2020
15,Rev,545.55,electronics,Dynazzy,928,10/6/2011
16,Mrs,807.67,home goods,Wordtune,751,7/24/2017
17,Rev,94.7,electronics,Tazzy,341,7/16/2012
18,Dr,509.39,electronics,Demizz,810,9/18/2017
19,Mr,154.01,toys,Buzzdog,0,6/7/2022
20,Rev,283.36,electronics,Oodoo,633,7/31/2011
21,Ms,444.59,toys,Shuffledrive,177,8/12/2020
22,Honorable,220.29,beauty,Oloo,218,5/9/2012
23,Mr,865.58,home goods,Voomm,151,10/30/2022
24,Mrs,892.76,toys,Dablist,647,8/4/2019
25,Ms,670.45,toys,Vitz,149,2/5/2014
26,Rev,545.64,home goods,Buzzster,210,10/8/2020
27,Mr,32.16,beauty,Skimia,928,9/12/2015
28,Mr,905.59,electronics,Youopia,654,12/16/2014
29,Ms,292.46,toys,Eidel,761,3/24/2011
30,Rev,462.56,home goods,Voonder,532,6/6/2010
31,Mrs,866.91,electronics,Vinte,914,6/16/2010
32,Honorable,723.82,beauty,Talane,353,9/16/2015
33,Ms,209.63,clothing,Edgetag,186,6/18/2020
34,Mrs,902.67,electronics,Topiclounge,696,3/16/2012
35,Dr,487.34,electronics,Buzzdog,990,8/18/2021
36,Mr,449.39,home goods,Topicware,817,2/26/2018
37,Dr,402.42,clothing,Divavu,65,6/29/2017
38,Rev,666.14,beauty,Topdrive,60,8/12/2011
39,Honorable,390.19,beauty,Wordware,554,8/28/2022
40,Mr,545.4,toys,Realpoint,49,11/9/2022
41,Rev,166.85,toys,Plajo,117,9/17/2010
42,Mr,875.06,toys,Fivechat,390,5/24/2015
43,Rev,200.79,beauty,Yotz,770,10/5/2021
44,Mrs,633.98,toys,Meejo,972,5/2/2011
45,Dr,257.53,home goods,Bluezoom,523,3/4/2015
46,Dr,617.18,clothing,Gigabox,902,1/20/2016
