"SUPPLIER_NAME","SUPPLIER_EMAIL","SUPPLIER_PHONE","POST_CODE","SUPPLIER_ID"
"Vogue Apparel Co","vogueapparelco@hotmail.com","9005853844","BS1 4LY","SP10001"
"Elite Fashions Inc","elitefashionsinc@hotmail.com","7235230655","KA13 6NJ","SP10002"
"Chic Designs Ltd","chicdesignsltd@hotmail.com","6764561323","CF47 8DP","SP10003"
"Trendy Textiles Group","trendytextilesgroup@yahoo.com","9948427989","SG9 0EA","SP10004"
"Fashion Forward Creations LLC","fashionforwardcreationsllc@hotmail.com","6901352191","RM13 8NA","SP10005"
"StyleMakers International","stylemakersinternational@yahoo.com","7376774213","SN6 8PN","SP10006"
"Elegance Garments Ltd.","elegancegarmentsltd.@yahoo.com","5896594222","ME3 7AY","SP10007"
"Modern Threads Co","modernthreadsco@yahoo.com","6347278183","TR18 3DU","SP10008"
"Urban Couture Enterprises","urbancoutureenterprises@hotmail.com","3602437635","GU1 3LQ","SP10009"
"Glamour Wear Inc","glamourwearinc@gmail.com","2324022826","KT13 8PF","SP10010"
"Fashionista Industries Ltd","fashionistaindustriesltd@outlook.com","9667218092","W1G 7DZ","SP10011"
"Couture Creations LLC","couturecreationsllc@yahoo.com","9120691405","EX34 8DJ","SP10012"
"Trendsetter Textiles Inc.","trendsettertextilesinc.@yahoo.com","7216347505","BS31 2RQ","SP10013"
"Classic Styles Group","classicstylesgroup@gmail.com","8159206758","NE47 9HY","SP10014"
"Designer Denim Co.","designerdenimco.@yahoo.com","1221523161","L25 6JN","SP10015"
"Boutique Brands Ltd","boutiquebrandsltd@hotmail.com","5300163739","L9 6AL","SP10016"
"Luxury Labels International","luxurylabelsinternational@outlook.com","7826135837","TF1 2LS","SP10017"
"Chic Couture Creations","chiccouturecreations@gmail.com","2947671422","M8 4QP","SP10018"
"Trendy Tailors Inc","trendytailorsinc@hotmail.com","3863629068","B62 9NJ","SP10019"
"Fancy Fabrics Group","fancyfabricsgroup@hotmail.com","3084632068","DH7 9YQ","SP10020"
